layer,head,delta_prefix_mass_head,clean_prefix_mass_head,corrupt_prefix_mass_head
8,21.0,-0.00128173828125,0.85955810546875,0.86083984375
8,22.0,-0.06707763671875,0.49627685546875,0.5633544921875
8,23.0,-0.044921875,0.44525146484375,0.49017333984375
8,24.0,0.04815673828125,0.689453125,0.64129638671875
8,25.0,0.0322265625,0.6920166015625,0.6597900390625
8,26.0,-0.02215576171875,0.74932861328125,0.771484375
8,27.0,-0.00030517578125,0.7303466796875,0.73065185546875
8,28.0,-0.003173828125,0.94219970703125,0.94537353515625
8,29.0,-0.0201416015625,0.78302001953125,0.80316162109375
8,30.0,-0.007720947265625,0.35272216796875,0.360443115234375
8,31.0,-0.037261962890625,0.2355194091796875,0.2727813720703125
9,0.0,-0.0217437744140625,0.2158355712890625,0.237579345703125
9,1.0,-0.0062255859375,0.64666748046875,0.65289306640625
9,2.0,0.0245361328125,0.654541015625,0.6300048828125
9,3.0,0.109100341796875,0.58172607421875,0.472625732421875
9,4.0,-0.0012655258178710938,0.018278121948242188,0.01954364776611328
9,5.0,-0.024139404296875,0.509368896484375,0.53350830078125
9,6.0,-0.0139617919921875,0.1903533935546875,0.204315185546875
9,7.0,-0.004913330078125,0.36505126953125,0.369964599609375
9,8.0,0.0682373046875,0.75146484375,0.6832275390625
9,9.0,-0.0159912109375,0.6907958984375,0.706787109375
9,10.0,0.01531982421875,0.7723388671875,0.75701904296875
9,11.0,-0.00836181640625,0.868408203125,0.87677001953125
9,12.0,-0.062713623046875,0.493072509765625,0.5557861328125
9,13.0,0.00299072265625,0.83770751953125,0.834716796875
9,14.0,-0.00042724609375,0.8519287109375,0.85235595703125
9,15.0,0.0018463134765625,0.193267822265625,0.1914215087890625
9,16.0,-0.0050048828125,0.79254150390625,0.79754638671875
9,17.0,-0.00726318359375,0.8609619140625,0.86822509765625
9,18.0,0.0301513671875,0.329132080078125,0.298980712890625
9,19.0,0.016204833984375,0.547027587890625,0.53082275390625
9,20.0,0.00244140625,0.6630859375,0.66064453125
9,21.0,-0.0059814453125,0.79034423828125,0.79632568359375
9,22.0,-0.01725006103515625,0.1149139404296875,0.13216400146484375
9,23.0,0.04473876953125,0.76727294921875,0.7225341796875
9,24.0,-0.00262451171875,0.967041015625,0.96966552734375
9,25.0,-0.00323486328125,0.6466064453125,0.64984130859375
9,26.0,-0.060821533203125,0.308319091796875,0.369140625
9,27.0,-0.001953125,0.94207763671875,0.94403076171875
9,28.0,0.009185791015625,0.493011474609375,0.48382568359375
9,29.0,-0.011077880859375,0.408538818359375,0.41961669921875
9,30.0,0.01129150390625,0.501220703125,0.48992919921875
9,31.0,0.00274658203125,0.67352294921875,0.6707763671875
10,0.0,0.009002685546875,0.452301025390625,0.44329833984375
10,1.0,-0.03131103515625,0.62030029296875,0.651611328125
10,2.0,-0.00018310546875,0.764404296875,0.76458740234375
10,3.0,0.05120849609375,0.57525634765625,0.5240478515625
10,4.0,-0.00457763671875,0.7904052734375,0.79498291015625
10,5.0,-0.03668212890625,0.7152099609375,0.75189208984375
10,6.0,-0.0015869140625,0.78118896484375,0.78277587890625
10,7.0,-0.086456298828125,0.242340087890625,0.32879638671875
10,8.0,0.0001220703125,0.9996337890625,0.99951171875
10,9.0,-0.03326416015625,0.78619384765625,0.8194580078125
10,10.0,-0.0035400390625,0.86334228515625,0.86688232421875
10,11.0,-0.019287109375,0.850830078125,0.8701171875
10,12.0,-0.006195068359375,0.358612060546875,0.36480712890625
10,13.0,0.000244140625,0.94427490234375,0.94403076171875
10,14.0,-0.062530517578125,0.49072265625,0.553253173828125
10,15.0,0.00067138671875,0.82177734375,0.82110595703125
10,16.0,-0.01446533203125,0.603271484375,0.61773681640625
10,17.0,0.0072021484375,0.91021728515625,0.90301513671875
10,18.0,-0.0079345703125,0.888916015625,0.8968505859375
10,19.0,0.002716064453125,0.5025634765625,0.499847412109375
10,20.0,0.005615234375,0.857421875,0.851806640625
10,21.0,-0.0229644775390625,0.1597747802734375,0.1827392578125
10,22.0,-0.04107666015625,0.399139404296875,0.440216064453125
10,23.0,-0.01507568359375,0.73284912109375,0.7479248046875
10,24.0,0.0096435546875,0.788818359375,0.7791748046875
10,25.0,-0.04486083984375,0.73785400390625,0.78271484375
10,26.0,-0.0062255859375,0.760498046875,0.7667236328125
10,27.0,0.056854248046875,0.503692626953125,0.44683837890625
10,28.0,0.04681396484375,0.757080078125,0.71026611328125
10,29.0,0.023468017578125,0.3956298828125,0.372161865234375
10,30.0,-0.01397705078125,0.63909912109375,0.653076171875
10,31.0,-0.020355224609375,0.374542236328125,0.3948974609375
11,0.0,0.00238037109375,0.93414306640625,0.9317626953125
11,1.0,-0.022705078125,0.5343017578125,0.5570068359375
11,2.0,0.0888671875,0.818603515625,0.729736328125
11,3.0,0.017578125,0.85235595703125,0.83477783203125
